-0.05,-0.02,0.99,-2.74,-1.07,81.87
-0.05,-0.02,0.99,-2.66,-1.06,82.04
-0.05,-0.02,0.99,-2.76,-1.11,81.91
-0.05,-0.02,0.99,-2.73,-1.02,81.89
-0.05,-0.02,0.99,-2.71,-1.05,82.06
-0.05,-0.02,0.99,-2.77,-1.10,81.70
-0.05,-0.02,0.99,-2.68,-1.03,81.77
-0.05,-0.02,0.99,-2.75,-1.14,81.65
-0.05,-0.02,0.99,-2.70,-1.12,81.58
-0.05,-0.02,0.99,-2.70,-1.12,81.46
-0.05,-0.02,0.99,-2.73,-1.12,81.21
-0.05,-0.02,0.99,-2.75,-1.13,81.63
-0.05,-0.02,0.99,-2.67,-1.07,81.63
-0.05,-0.02,0.99,-2.70,-1.06,81.48
-0.05,-0.02,0.99,-2.71,-1.10,82.04
-0.05,-0.02,0.99,-2.72,-1.06,81.74
-0.05,-0.02,0.99,-2.72,-1.07,81.58
-0.04,-0.02,0.99,-2.53,-1.11,82.99
-0.05,-0.02,0.99,-2.69,-1.13,81.19
-0.05,-0.02,0.99,-2.69,-1.09,81.72
-0.05,-0.02,0.99,-2.71,-1.05,81.55
-0.05,-0.02,0.99,-2.63,-1.00,81.48
-0.05,-0.02,0.99,-2.73,-1.10,81.87
-0.05,-0.02,0.99,-2.75,-1.17,80.92
-0.05,-0.02,0.99,-2.68,-1.10,81.16
-0.05,-0.02,0.99,-2.66,-1.09,81.55
-0.05,-0.02,0.99,-2.73,-1.05,81.32
-0.05,-0.02,0.99,-2.70,-1.10,81.53
-0.05,-0.02,0.99,-2.67,-1.10,81.79
-0.05,-0.02,0.99,-2.66,-1.05,81.46
-0.05,-0.02,0.99,-2.64,-1.11,82.09
-0.05,-0.02,0.99,-2.71,-1.15,81.87
-0.06,-0.02,0.98,-3.59,-1.26,77.54
-0.05,-0.02,0.99,-2.65,-1.06,81.48
-0.04,-0.02,0.99,-2.40,-1.03,81.77
0.12,-0.01,0.97,7.14,-0.48,75.28
0.39,0.01,0.89,22.83,0.32,62.39
0.39,-0.01,0.90,23.05,-0.68,64.53
0.39,-0.01,0.90,22.95,-0.40,64.63
0.39,-0.00,0.91,22.94,-0.15,64.85
0.40,-0.00,0.90,23.32,-0.28,64.49
0.39,-0.00,0.91,23.23,-0.25,64.87
0.40,-0.00,0.90,23.53,-0.23,64.65
0.40,-0.00,0.90,23.63,-0.21,64.57
0.39,-0.00,0.90,23.20,-0.03,63.57
-0.03,-0.03,1.00,-1.90,-1.95,90.00
-0.09,-0.01,0.99,-5.04,-0.77,83.52
-0.06,-0.03,0.99,-3.59,-1.49,80.47
-0.03,-0.02,0.99,-1.54,-0.92,81.37
-0.03,-0.01,0.99,-1.48,-0.80,82.14
-0.02,-0.01,0.99,-1.43,-0.86,82.11
-0.03,-0.02,0.99,-1.52,-0.93,82.53
-0.03,-0.02,0.99,-1.62,-0.88,82.01
-0.03,-0.01,1.00,-1.49,-0.83,87.11
-0.03,-0.02,0.99,-1.55,-0.92,82.45
-0.03,-0.02,0.99,-1.57,-0.86,80.88
-0.03,-0.02,0.99,-1.58,-1.06,81.72
-0.03,-0.02,0.99,-1.59,-1.11,81.82
-0.02,-0.02,0.99,-1.30,-1.00,84.03
0.04,-0.05,0.98,2.31,-2.78,77.65
0.12,-0.03,1.02,6.65,-1.48,90.00
0.26,-0.02,0.96,15.22,-1.24,74.54
0.27,-0.02,0.96,15.58,-1.17,74.07
0.27,-0.04,0.90,15.54,-2.52,64.02
0.21,0.00,0.98,12.27,0.25,79.39
0.22,-0.00,0.96,12.89,-0.21,74.18
0.20,0.01,0.97,11.81,0.66,75.66
0.30,-0.04,0.92,17.74,-2.35,67.34
0.32,-0.05,0.93,18.96,-2.71,69.21
0.33,-0.05,0.92,19.53,-2.80,67.55
0.27,-0.04,0.95,15.85,-2.36,71.41
0.21,-0.02,0.97,12.15,-1.15,76.15
0.03,0.00,0.95,1.69,0.02,71.08
-0.06,0.03,0.99,-3.49,1.68,80.14
-0.12,0.03,0.99,-6.90,1.73,82.91
-0.13,0.00,0.98,-7.21,0.28,79.28
-0.11,-0.01,0.99,-6.37,-0.74,82.88
-0.10,-0.02,0.99,-5.62,-0.98,81.32
-0.08,-0.02,0.99,-4.35,-1.32,81.10
